Magma V2.28-23    Thu Jul  3 2025 17:17:15 on cecm-gaby [Seed = 3251546197]
Type ? for help.  Type <Ctrl>-D to quit.
Loading "gl2data.txt"
Loading "curvelist1.txt"
Group # 1, Level 2 (absolutely irreducible) 
Group # 2, Group Order 96, Lifted Level 8 
Group # 3, Level 4 (absolutely irreducible) 
Group # 4, Level 8 (absolutely irreducible) 
Group # 5, Level 8 (absolutely irreducible) 
Group # 6, Level 2 (reducible) 
Group # 7, Level 4 (absolutely irreducible) 
Group # 8, Level 2 (reducible) 
Group # 9, Level 4 (reducible) 
Group # 10, Level 4 (reducible) 
Group # 11, Level 4 (reducible) 
Group # 12, Level 4 (reducible) 
Group # 13, Level 4 (reducible) 
Group # 14, Level 8 (reducible) 
Group # 15, Level 8 (reducible) 
Group # 16, Level 8 (reducible) 
Group # 17, Level 8 (reducible) 
Group # 18, Level 8 (reducible) 
Group # 19, Level 8 (reducible) 
Group # 20, Level 4 (absolutely irreducible) 
Group # 22, Level 8 (absolutely irreducible) 
Group # 23, Level 4 (reducible) 
Group # 24, Level 4 (reducible) 
Group # 25, Level 4 (reducible) 
Group # 26, Level 4 (reducible) 
Group # 27, Level 4 (reducible) 
Group # 28, Level 8 (reducible) 
Group # 29, Level 8 (reducible) 
Group # 30, Level 8 (reducible) 
Group # 31, Level 8 (reducible) 
Group # 32, Level 8 (reducible) 
Group # 33, Level 8 (reducible) 
Group # 34, Level 8 (reducible) 
Group # 35, Level 8 (reducible) 
Group # 36, Level 8 (reducible) 
Group # 37, Level 8 (reducible) 
Group # 38, Level 8 (reducible) 
Group # 39, Level 8 (reducible) 
Group # 40, Level 8 (reducible) 
Group # 41, Level 8 (reducible) 
Group # 42, Level 8 (reducible) 
Group # 43, Level 8 (reducible) 
Group # 44, Level 8 (reducible) 
Group # 45, Level 8 (reducible) 
Group # 46, Level 8 (reducible) 
Group # 47, Level 8 (reducible) 
Group # 48, Level 8 (reducible) 
Group # 49, Level 8 (reducible) 
Group # 50, Level 8 (reducible) 
Group # 55, Level 8 (absolutely irreducible) 
Group # 56, Level 16 (absolutely irreducible) 
Group # 57, Level 16 (absolutely irreducible) 
